total timesteps,eval_qs,eval_time_elapsed,eval_qs_difference,eval_abs_qs_difference,eval_ep_rewmean,eval_eplenmean,eval mean 100 episode reward,eval_discount_q,update_time,fps,time_elapsed,env_time,episodes,ep_rewmean,act_time,mean 100 episode reward,n_updates,qs_abs_difference,qs_mean,discount_q,current_lr,train_time,eplenmean,qs_difference
1,-1.6129628,0,-49.25513577275221,49.25514,99.62040254545455,21.272727272727273,99.3,90.38640540566368,,,,,,,,,,,,,,,,
975,,,,,,,,,0,632,1,0,40,123.31388465,0,123.3,0,66.09635479816717,0.17004125,57.887776308835846,0.0003,0,24.375,-66.09635479816717
1055,,,,,,,,,0,644,1,0,44,121.17169543181818,0,121.2,0,54.591428128951314,0.29437986,55.83283416433154,0.0003,0,23.977272727272727,-54.591428128951314
1144,,,,,,,,,0,649,1,0,48,120.27766064583334,0,120.3,0,49.52226259097902,0.18369453,45.397629232897444,0.0003,0,23.833333333333332,-49.52226259097902
1236,,,,,,,,,0,657,1,0,52,120.03089265384617,0,120.0,0,47.709742352924856,0.1023228,41.720114838931956,0.0003,0,23.76923076923077,-47.709742352924856
1324,,,,,,,,,0,627,2,0,56,119.43425351785716,0,119.4,0,51.879340950293965,0.3859671,48.59718507138667,0.0003,0,23.642857142857142,-51.879340950293965
1411,,,,,,,,,0,615,2,0,60,118.81184238333336,0,118.8,0,41.60352822937402,0.2984515,38.18178580918009,0.0003,0,23.516666666666666,-41.60352822937402
1488,,,,,,,,,0,635,2,0,64,117.36239278125001,0,117.4,0,44.42683741098443,0.29567242,45.223955919061716,0.0003,0,23.25,-44.42683741098443
1571,,,,,,,,,0,637,2,0,68,116.60857857352941,0,116.6,0,46.82775925225126,0.3880354,45.31874622319853,0.0003,0,23.102941176470587,-46.82775925225126
1665,,,,,,,,,1,610,2,0,72,116.68122902777779,0,116.7,0,44.0290143219945,0.37773526,37.98393900524749,0.0003,0,23.125,-44.0290143219945
1770,,,,,,,,,1,600,2,1,76,117.46800427631581,0,117.5,0,44.4623744611789,0.24751091,34.09183401677156,0.0003,0,23.289473684210527,-44.4623744611789
1890,,,,,,,,,1,571,3,1,80,119.03607860000002,0,119.0,0,106.00596462096826,0.3000269,93.80788590600032,0.0003,0,23.625,-106.00596462096826
1992,,,,,,,,,1,551,3,1,84,119.46619780952382,0,119.5,0,69.3223407796586,0.30694303,62.149307553696666,0.0003,0,23.714285714285715,-69.3223407796586
2072,,,,,,,,,2,503,4,1,88,118.51129676136365,0,118.5,0,45.75888712053873,0.07211958,45.910729908390636,0.0003,0,23.545454545454547,-45.75888712053873
2179,,,,,,,,,2,505,4,1,92,119.26589953260873,0,119.3,0,56.328275021684334,0.39437675,43.45541131008407,0.0003,0,23.684782608695652,-56.328275021684334
2271,,,,,,,,,2,510,4,1,96,118.99098410416667,0,119.0,0,56.403997670257716,0.32947755,51.77281738834391,0.0003,0,23.65625,-56.403997670257716
2366,,,,,,,,,2,496,4,1,100,118.95342159,0,119.0,0,58.97821629186043,0.1888005,52.81220459308058,0.0003,0,23.66,-58.97821629186043
2472,,,,,,,,,2,468,5,1,104,119.0859993,0,119.1,0,43.840605533382806,0.22769172,33.48165232515937,0.0003,0,23.7,-43.840605533382806
2564,,,,,,,,,3,454,5,1,108,118.90721042999999,0,118.9,0,41.54054997217446,0.30863085,36.265748814200116,0.0003,0,23.7,-41.54054997217446
2647,,,,,,,,,3,427,6,1,112,118.35917534999999,0,118.4,0,47.58126289546478,0.23397453,45.66246871218411,0.0003,0,23.6,-47.58126289546478
2725,,,,,,,,,4,408,6,1,116,117.15489592,0,117.2,0,47.10377721161921,0.25940394,47.829216644488135,0.0003,0,23.38,-47.10377721161921
2797,,,,,,,,,4,416,6,1,120,115.02978584,0,115.0,0,43.98493406712153,0.23578861,47.32062248177256,0.0003,0,22.98,-43.98493406712153
2883,,,,,,,,,4,396,7,1,124,113.40628336000002,0,113.4,0,41.84177411962853,0.20795737,38.67001637683799,0.0003,0,22.69,-41.84177411962853
2976,,,,,,,,,4,389,7,1,128,114.3982944,0,114.4,0,50.87880871614686,0.15954003,44.39127664617848,0.0003,0,22.87,-50.87880871614686
3070,,,,,,,,,5,380,8,1,132,113.90833330999997,0,113.9,0,39.67438246933184,0.13140908,33.37277953729026,0.0003,0,22.8,-39.67438246933184
3153,,,,,,,,,5,366,8,2,136,113.79780591,0,113.8,0,41.89020190340244,0.17300199,39.85761321396971,0.0003,0,22.78,-41.89020190340244
3275,,,,,,,,,6,358,9,2,140,114.95959573000002,0,115.0,0,130.6884217804652,0.36827394,121.99734186661792,0.0003,0,23.0,-130.6884217804652
3377,,,,,,,,,6,353,9,2,144,115.97547579,0,116.0,0,54.746845449810756,0.13228521,44.76210323931582,0.0003,0,23.22,-54.746845449810756
3481,,,,,,,,,6,339,10,2,148,116.89444092999999,0,116.9,0,63.924929729062725,0.30408427,53.31710767625113,0.0003,0,23.37,-63.924929729062725
3575,,,,,,,,,7,328,10,2,152,116.94681574,0,116.9,0,56.29102322057501,0.2671028,49.52391569170733,0.0003,0,23.39,-56.29102322057501
3675,,,,,,,,,8,315,11,2,156,117.51670099,0,117.5,0,51.462722398035204,0.32055038,41.66824626566803,0.0003,0,23.51,-51.462722398035204
3769,,,,,,,,,8,300,12,2,160,117.86964813,0,117.9,0,42.06558488624098,0.43128997,35.79497630746931,0.0003,0,23.58,-42.06558488624098
3867,,,,,,,,,9,290,13,2,164,119.01704792000002,0,119.0,0,47.8405194107288,0.18975684,39.365682351801695,0.0003,0,23.79,-47.8405194107288
3942,,,,,,,,,9,292,13,2,168,118.57133876000002,0,118.6,0,44.71562769400251,0.12946147,46.23819443504575,0.0003,0,23.71,-44.71562769400251
4027,,,,,,,,,10,285,14,2,172,118.16203195000004,0,118.2,0,51.303633490232336,0.18883377,48.4148114458992,0.0003,0,23.62,-51.303633490232336
4133,,,,,,,,,10,280,14,2,176,118.32186674,0,118.3,0,52.65545891392819,0.16709867,40.874105416597025,0.0003,0,23.63,-52.65545891392819
4228,,,,,,,,,11,274,15,2,180,117.13521912999998,0,117.1,0,51.60991132395606,0.24957871,46.30877112794892,0.0003,0,23.38,-51.60991132395606
4346,,,,,,,,,11,270,16,2,184,117.98752722,0,118.0,0,81.49201446970605,0.25963023,62.2962216840042,0.0003,0,23.54,-81.49201446970605
