eval_qs,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,eval_qs_difference,total timesteps,eval_abs_qs_difference,eval_time_elapsed,eval_eplenmean,discount_q,mean 100 episode reward,train_time,n_updates,update_time,qs_difference,qs_abs_difference,time_elapsed,fps,eplenmean,env_time,episodes,current_lr,ep_rewmean,qs_mean,act_time,qfs_loss,q_grad_norm
-1.3183887,8.7,8.748868636363637,8.342477316641954,-4.0531281387506235,1,4.0531282,0,17.90909090909091,,,,,,,,,,,,,,,,,,
,,,,,30039,,,,2.3535568608294613,102.0,118,10200,400,92.70108613787862,92.70108613787862,563,53,56.97,29,1188,0.0003,101.99810533999998,164.58034,4,82.79018,2798.3582
,,,,,30498,,,,3.1614498112000553,111.2,127,11000,410,91.76404467339448,91.76404467339448,583,52,60.91,29,1192,0.0003,111.24403281,165.1153,4,97.951065,3451.6675
,,,,,30970,,,,2.9727923333942425,120.3,138,12000,423,85.50189967690592,85.50189967690592,607,50,64.73,30,1196,0.0003,120.31613179999998,166.1806,5,82.958206,2924.4253
,,,,,31426,,,,7.586830218646183,130.3,149,13000,436,-1.4189665535393223,10.31607778933448,633,49,68.64,30,1200,0.0003,130.29070402,136.82082,5,99.74549,3641.6157
,,,,,31869,,,,3.4330114059640455,138.3,159,13800,447,89.63302479266015,89.63302479266015,653,48,72.23,31,1204,0.0003,138.32062915,159.19261,5,73.869255,3270.1794
,,,,,32387,,,,2.9432002994461404,149.0,170,14800,460,35.472339417120395,35.472339417120395,678,47,76.7,31,1208,0.0003,149.0232792,148.08263,5,106.70959,4049.8232
,,,,,32865,,,,4.537565100866,157.7,181,15800,473,35.07447661096907,35.075702233861115,704,46,79.82,32,1212,0.0003,157.73348399999998,147.40775,6,92.04702,3751.419
,,,,,33325,,,,4.093097111554798,165.0,192,16800,487,47.03979017257205,47.03979017257205,729,45,82.43,32,1216,0.0003,164.95733267,141.829,6,71.591156,3518.1921
,,,,,33759,,,,4.570775751958461,171.6,201,17600,497,97.82341406910963,97.82341406910963,750,45,85.6,32,1220,0.0003,171.5551226,174.06729,6,73.703636,3258.1243
,,,,,34136,,,,7.2410098407072505,176.4,210,18400,508,92.92200568913164,92.92200568913164,770,44,88.1,33,1224,0.0003,176.43715088000002,169.25908,6,65.62152,3244.1226
,,,,,34579,,,,5.854128981299742,183.0,219,19200,520,52.582445347328836,52.582445347328836,791,43,91.16,33,1228,0.0003,182.95037167,155.33176,6,76.16481,3456.1853
,,,,,35017,,,,4.731475518934877,189.9,230,20200,534,64.86791926491665,64.86791926491665,817,42,94.22,34,1232,0.0003,189.87772172,156.67198,7,81.85325,4217.363
,,,,,35452,,,,6.215798631068483,197.3,239,21000,545,37.581849617845485,37.581849617845485,838,42,97.58,34,1236,0.0003,197.33679401,139.83704,7,77.27076,3621.3738
,,,,,35846,,,,8.760654207639497,203.3,249,21800,556,61.29242402552738,61.29242402552738,859,41,100.59,34,1240,0.0003,203.33370491999997,162.68665,7,66.137634,3630.2134
,,,,,36263,,,,4.04894141461326,210.6,258,22600,568,94.13035534115647,94.13035534115647,881,41,103.86,35,1244,0.0003,210.63629251000003,163.21478,7,89.56281,4095.7766
,,,,,36654,,,,5.9581751917179995,214.0,266,23400,579,92.82462767010318,92.82462767010318,901,40,105.43,35,1248,0.0003,214.03780107000003,167.35797,8,70.53419,3584.3062
,,,,,37108,,,,5.251633045488769,217.4,277,24400,594,33.087286737175035,33.53779545033901,928,39,106.57,35,1252,0.0003,217.43113357,143.65219,8,74.86915,4099.3867
,,,,,37472,,,,12.357872250323007,217.1,284,25000,603,42.750356577310626,42.86610761660162,944,39,106.08,36,1256,0.0003,217.08205676999995,147.26889,8,69.623795,3917.4707
,,,,,37974,,,,3.7299680654116485,220.5,295,26000,617,26.45716054819737,26.60919910529103,971,39,106.9,36,1260,0.0003,220.54313151000002,143.87437,8,69.48371,3699.123
,,,,,38417,,,,4.689279044104217,223.5,307,27000,632,50.03575544111441,50.52152875442436,997,38,107.82,37,1264,0.0003,223.49438483999998,144.72278,8,63.913036,3434.15
