eval_eplenmean,eval_ep_rewmean,eval_discount_q,eval_abs_qs_difference,total timesteps,eval_time_elapsed,eval_qs,eval mean 100 episode reward,eval_qs_difference,current_lr,act_time,time_elapsed,qs_difference,qs_abs_difference,eplenmean,mean 100 episode reward,qs_mean,fps,episodes,discount_q,train_time,ep_rewmean,n_updates,env_time,update_time,q_grad_norm,qfs_loss
,,,,140000,,,,,0.0003,103,7012,0.32123089353048845,0.4731939337785525,1000.0,58.1,3.1996331,19,140,2.4378985793267345e-12,3013,58.054801530000006,230200,204,3331,1.0573858,0.008017832
1000.0,117.23889090909091,31.085952817551654,1.1394309,140001,22,9.587083,63.5,0.9407032055292316,,,,,,,,,,,,,,,,,,
,,,,144000,,,,,0.0003,106,7298,1.0449383748114403,1.1781589872388125,1000.0,61.8,10.755123,19,144,2.300593921473361e-12,3117,61.79522319000001,238200,210,3479,1.001363,0.0078099575
,,,,148000,,,,,0.0003,109,7562,0.948028480110158,1.090939078362196,1000.0,65.6,10.464355,19,148,2.6562053849935072e-12,3222,65.6244633,246200,216,3628,0.9227303,0.0074735386
1000.0,128.4984330909091,32.067986088488986,0.97724974,150001,22,10.300218,72.4,0.6251051031516526,,,,,,,,,,,,,,,,,,
,,,,152000,,,,,0.0003,113,7849,0.7984675446278197,0.8970238350011127,1000.0,69.2,10.755056,19,152,2.6556034935942658e-12,3327,69.20848133999999,254200,222,3776,0.94584,0.0064891665
,,,,156000,,,,,0.0003,116,8112,0.9345606762667688,0.9488294151035596,1000.0,73.0,11.280496,19,156,2.4937319000220823e-12,3432,73.01942762,262200,227,3925,0.99642265,0.006880067
,,,,160000,,,,,0.0003,120,8376,1.383123842422369,1.410793594307888,1000.0,76.5,10.90503,19,160,2.6956740588069167e-12,3536,76.48967993000001,270200,233,4074,0.71441406,0.0050282343
1000.0,127.83917463636364,32.388285350346536,1.3427068,160001,22,10.602527,81.1,1.0250499294233697,,,,,,,,,,,,,,,,,,
,,,,164000,,,,,0.0003,123,8662,1.4933458242556945,1.5333857865848712,1000.0,79.0,11.168904,18,164,2.5092927306585068e-12,3641,79.02920323,278200,239,4222,0.809002,0.006010777
,,,,168000,,,,,0.0003,127,8925,0.8600430844314051,0.9789749444566902,1000.0,82.4,10.967416,18,168,2.5496248061263946e-12,3746,82.42287339,286200,245,4370,0.7719416,0.005178724
1000.0,136.7521397272727,32.15260902089522,1.1446052,170001,22,11.065095,91.0,0.5729884745012698,,,,,,,,,,,,,,,,,,
,,,,172000,,,,,0.0003,130,9212,1.1558400508102613,1.2296739823388405,1000.0,85.9,11.325652,18,172,2.559844936526177e-12,3850,85.90966687,294200,251,4518,0.6852733,0.00401618
,,,,176000,,,,,0.0003,133,9475,1.3152667576202688,1.3989183850595457,1000.0,89.4,11.504303,18,176,2.4529914735735162e-12,3955,89.37707977000002,302200,257,4666,0.6875212,0.0045971842
,,,,180000,,,,,0.0003,137,9738,0.9819416103335821,1.0097748811433034,1000.0,92.9,11.757013,18,180,2.5447630887694495e-12,4060,92.86392093,310200,263,4814,0.776166,0.0047189584
1000.0,135.06344772727272,31.63551206840301,1.5341991,180001,22,11.436375,101.4,1.0619453744151814,,,,,,,,,,,,,,,,,,
,,,,184000,,,,,0.0003,140,10025,0.8845520588000464,0.9770154634987082,1000.0,96.6,11.32813,18,184,2.6297947983595068e-12,4165,96.60522673,318200,269,4962,0.61045116,0.003608927
,,,,188000,,,,,0.0003,144,10289,1.0017624292373728,1.0052278904294374,1000.0,101.0,11.504195,18,188,2.656657564326032e-12,4270,100.9759937,326200,275,5111,0.68911844,0.003868136
1000.0,143.02335618181817,32.5478053980728,1.2801551,190001,22,11.945315,110.6,0.8652132707746675,,,,,,,,,,,,,,,,,,
