eval_qs,eval_ep_rewmean,total timesteps,eval_eplenmean,eval_abs_qs_difference,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_discount_q,time_elapsed,qs_mean,ep_rewmean,env_time,episodes,current_lr,fps,act_time,eplenmean,qs_difference,qs_abs_difference,n_updates,train_time,update_time,discount_q,mean 100 episode reward,qfs_loss,q_grad_norm
,,136000,,,,,,,7213,9.521885,60.290312199999995,203,136,0.0003,18,102,1000.0,0.9013405012493845,0.9102404804655275,222200,2878,3653,2.5600481942102405e-12,60.3,0.0063647907,1.0776981
,,140000,,,,,,,7495,10.218049,63.99036967,209,140,0.0003,18,106,1000.0,0.8584757381773531,0.9450463694797854,230200,2969,3833,2.5933320166250134e-12,64.0,0.00580135,0.89449203
9.543992,119.1572349090909,140001,1000.0,1.1042558,69.2,0.7924969064803054,25,31.961903487839724,,,,,,,,,,,,,,,,,,
,,144000,,,,,,,7811,9.9863825,67.64422642000001,215,144,0.0003,18,109,1000.0,0.8405297853743885,0.8870362481490229,238200,3067,4015,2.594986042873383e-12,67.6,0.007117774,1.063554
,,148000,,,,,,,8105,10.892981,71.7473953,221,148,0.0003,18,113,1000.0,0.9645921982276017,0.9885312343541164,246200,3168,4197,2.6327416993221696e-12,71.7,0.0065081376,1.0854782
11.033324,138.5148399090909,150001,1000.0,1.1045817,79.7,0.35397024518990106,25,32.041720516844066,,,,,,,,,,,,,,,,,,
,,152000,,,,,,,8424,10.342545,75.54870567,227,152,0.0003,18,117,1000.0,0.9577684096026936,0.9707217301876616,254200,3266,4381,2.6263006360346602e-12,75.5,0.004759771,0.7917356
,,156000,,,,,,,8722,12.116025,79.48575217000001,233,156,0.0003,17,120,1000.0,0.764748035617933,0.9649081876758184,262200,3369,4565,2.4293879866326135e-12,79.5,0.005853315,0.9829776
,,160000,,,,,,,9012,11.92002,83.43196391000001,239,160,0.0003,17,124,1000.0,2.3727232505258717,2.494121848468517,270200,3466,4747,2.53478905749874e-12,83.4,0.0058959993,0.8286032
12.300223,148.07352663636362,160001,1000.0,1.4245632,90.7,0.7001981303238882,25,32.397252122341335,,,,,,,,,,,,,,,,,,
,,164000,,,,,,,9334,12.734885,87.39569571000001,245,164,0.0003,17,127,1000.0,0.9326965621996202,1.0354117944233634,278200,3569,4929,2.2310025153229387e-12,87.4,0.005136876,0.89007324
,,168000,,,,,,,9632,12.958856,91.42854174,251,168,0.0003,17,131,1000.0,0.864665014667457,0.9159809288111684,286200,3669,5117,2.498061329354012e-12,91.4,0.0042544156,0.75384843
11.831478,141.97431272727275,170001,1000.0,1.4896827,101.5,0.8402408781589871,25,32.38579741036138,,,,,,,,,,,,,,,,,,
,,172000,,,,,,,9960,12.722938,95.53421393000002,258,172,0.0003,17,135,1000.0,1.0855358687140952,1.2179808137766421,294200,3773,5304,2.638583706126249e-12,95.5,0.004787032,0.86922234
,,176000,,,,,,,10257,12.456305,99.65461948000001,264,176,0.0003,17,138,1000.0,1.0053816387865928,1.034403505639327,302200,3874,5489,2.7012593236420737e-12,99.7,0.0044008014,0.7024368
,,180000,,,,,,,10554,12.191884,103.69149824000002,270,180,0.0003,17,142,1000.0,0.9259292315211657,0.9346488592381755,310200,3975,5674,2.4729243731752247e-12,103.7,0.003606116,0.7698753
11.711917,141.92692663636365,180001,1000.0,1.1534715,110.9,0.7754410882378878,25,32.89107914859156,,,,,,,,,,,,,,,,,,
,,184000,,,,,,,10873,12.069587,107.60782280000004,276,184,0.0003,16,145,1000.0,1.0455114554218001,1.0514988297581007,318200,4076,5857,2.6868462730107816e-12,107.6,0.0034670662,0.7522278
,,188000,,,,,,,11167,12.007779,111.11832647000001,282,188,0.0003,16,149,1000.0,0.927770724669379,0.9655422586185792,326200,4175,6040,2.7006621783239518e-12,111.1,0.003758864,0.8072136
12.012658,145.588835,190001,1000.0,1.3040584,121.2,0.7311377240084513,25,33.104690126126336,,,,,,,,,,,,,,,,,,
,,192000,,,,,,,11486,12.342725,114.78522769999998,288,192,0.0003,16,153,1000.0,1.1038428315352227,1.2160183935871045,334200,4274,6224,2.583038039936026e-12,114.8,0.0043587135,0.79074484
,,196000,,,,,,,11780,12.062766,118.46305946000001,294,196,0.0003,16,156,1000.0,1.1687262738620987,1.1726428408625207,342200,4373,6408,2.6389486770928657e-12,118.5,0.002965534,0.6618458
,,200000,,,,,,,12074,12.38874,121.844263,301,200,0.0003,16,160,1000.0,1.2832081283914616,1.3561542580278296,350200,4471,6592,2.5198699824002003e-12,121.8,0.0039197323,0.8883711
11.557417,140.75662954545453,200001,1000.0,1.1257161,130.0,0.7102043333484569,24,32.61061948334424,,,,,,,,,,,,,,,,,,
,,204000,,,,,,,12392,12.547689,125.88263180999998,307,204,0.0003,16,163,1000.0,1.1123363422255015,1.1360900350001486,358200,4571,6776,2.5725096200564493e-12,125.9,0.003228199,0.66038513
,,208000,,,,,,,12685,12.337995,128.8213689,313,208,0.0003,16,167,1000.0,1.159894951398421,1.19192570728728,366200,4669,6959,2.5492399878080975e-12,128.8,0.0039783185,0.7519819
11.810935,143.50249500000004,210001,1000.0,1.1542672,135.6,0.7279706329339959,24,33.00288610189642,,,,,,,,,,,,,,,,,,
,,212000,,,,,,,13003,12.311709,131.62562860000003,319,212,0.0003,16,171,1000.0,1.1559971843916075,1.1679764072640018,374200,4768,7142,2.6183928053354286e-12,131.6,0.0034074008,0.683613
,,216000,,,,,,,13297,11.996686,133.74946775,325,216,0.0003,16,174,1000.0,0.9295898386807225,0.9792715802132175,382200,4867,7326,2.6214039828576605e-12,133.7,0.002830766,0.65529734
