eval_ep_rewmean,eval_qs_difference,eval_qs,total timesteps,eval mean 100 episode reward,eval_discount_q,eval_eplenmean,eval_abs_qs_difference,eval_time_elapsed,n_updates,qs_difference,qs_mean,mean 100 episode reward,qs_abs_difference,time_elapsed,act_time,train_time,eplenmean,episodes,env_time,update_time,discount_q,ep_rewmean,fps,current_lr,qfs_loss,q_grad_norm
,,,296000,,,,,,542200,0.9974763795229146,12.146711,141.9,1.0103309392557194,19554,257,6864,1000.0,296,464,11109,2.653772811159031e-12,141.89731253000002,15,0.0003,0.0024094584,0.4413291
,,,300000,,,,,,550200,1.1045444044604493,12.193223,142.4,1.1249503725599814,19853,260,6968,1000.0,300,471,11292,2.6617129617151696e-12,142.37961045000003,15,0.0003,0.0027874976,0.4708929
146.98413972727272,0.8337945947844713,12.235462,300001,145.1,33.30047099483155,1000.0,1.2538896,25,,,,,,,,,,,,,,,,,,
,,,304000,,,,,,558200,1.0320167710599262,12.356758,142.6,1.0339010107604418,20169,264,7067,1000.0,304,477,11473,2.7460190834988457e-12,142.60920707999998,15,0.0003,0.0022603434,0.44730717
,,,308000,,,,,,566200,0.9814876978319543,12.351299,142.8,0.9946193115810456,20459,268,7164,1000.0,308,483,11655,2.7861192550947805e-12,142.78137985,15,0.0003,0.002316135,0.44284654
146.19355554545453,0.9033162798196736,12.182452,310001,145.0,33.73958791048732,1000.0,1.3567017,24,,,,,,,,,,,,,,,,,,
,,,312000,,,,,,574200,1.0231760436733157,12.284785,143.0,1.0266583103795863,20785,271,7271,1000.0,312,489,11838,2.585207748852408e-12,142.98001123,15,0.0003,0.0027072325,0.4675304
,,,316000,,,,,,582200,1.4155056173468472,12.206162,143.0,1.428777656218769,21082,275,7374,1000.0,316,495,12021,2.6935756923549345e-12,143.03900695,14,0.0003,0.002443192,0.40408838
,,,320000,,,,,,590200,1.5664682133962697,12.3996725,143.1,1.5675829276241644,21379,279,7474,1000.0,320,502,12206,2.7171522515531763e-12,143.0826326,14,0.0003,0.0018119233,0.3326481
145.29422045454547,0.8559869490793914,12.104822,320001,144.8,33.13723905495258,1000.0,1.285115,25,,,,,,,,,,,,,,,,,,
,,,324000,,,,,,598200,1.4372782392895544,12.217953,143.2,1.4447397559906505,21701,282,7575,1000.0,324,508,12390,2.655974370708219e-12,143.17004692999998,14,0.0003,0.001961112,0.34402534
,,,328000,,,,,,606200,1.1888355944688347,12.701326,143.2,1.2054608249135024,21995,286,7674,1000.0,328,514,12574,2.556908904699308e-12,143.20454037,14,0.0003,0.0018769667,0.3661258
145.94274036363637,0.9274964246255087,12.204376,330001,145.5,33.50903260787303,1000.0,1.3293847,25,,,,,,,,,,,,,,,,,,
,,,332000,,,,,,614200,1.0216265323718237,11.936301,143.1,1.0241433070850592,22312,290,7773,1000.0,332,521,12757,2.5885959030776654e-12,143.13358184999998,14,0.0003,0.0016079932,0.31581774
,,,336000,,,,,,622200,1.1462136247493162,12.039404,143.1,1.1483156102836674,22609,293,7873,1000.0,336,527,12942,2.6256984224332068e-12,143.11942524999998,14,0.0003,0.0019248505,0.36552128
,,,340000,,,,,,630200,1.413653403658597,12.022177,143.7,1.4256809652802847,22904,297,7973,1000.0,340,533,13126,2.8173301173611334e-12,143.70736743999998,14,0.0003,0.0023493897,0.38461238
148.05772463636362,0.784440615564105,12.306512,340001,145.5,33.16870509227281,1000.0,1.2256362,25,,,,,,,,,,,,,,,,,,
,,,344000,,,,,,638200,1.2948831114450965,12.283269,143.7,1.299861275663504,23223,301,8074,1000.0,344,539,13307,2.6955530378796592e-12,143.74581607,14,0.0003,0.001647172,0.33907643
,,,348000,,,,,,646200,1.0369989132371784,12.036619,143.7,1.0480866904418353,23518,304,8176,1000.0,348,545,13489,2.6891311712337107e-12,143.67327089999998,14,0.0003,0.0016943255,0.3216359
145.30085109090908,0.8800865832484607,12.042687,350001,145.9,34.01499014581794,1000.0,1.2160239,25,,,,,,,,,,,,,,,,,,
,,,352000,,,,,,654200,1.0057908280506358,12.163995,143.8,1.00740570908632,23835,308,8275,1000.0,352,552,13670,2.6875034045220865e-12,143.7637054,14,0.0003,0.0018761553,0.37839553
,,,356000,,,,,,662200,1.0889828739172662,12.413634,143.8,1.0906955454059488,24128,312,8373,1000.0,356,558,13853,2.6128998899523424e-12,143.77079196,14,0.0003,0.0018412948,0.32343575
,,,360000,,,,,,670200,1.256452613551599,12.272873,143.8,1.2601024524623148,24419,315,8470,1000.0,360,564,14036,2.6857023357021285e-12,143.77090302,14,0.0003,0.0019547204,0.34613216
144.48617436363634,0.9792595248017836,12.10499,360001,145.7,33.564512801952965,1000.0,1.3395517,25,,,,,,,,,,,,,,,,,,
,,,364000,,,,,,678200,1.1296369132158877,12.512517,143.9,1.1304345165366922,24736,319,8568,1000.0,364,571,14218,2.6828097750313806e-12,143.85522516,14,0.0003,0.0021734897,0.37216038
,,,368000,,,,,,686200,1.2023032136541765,12.330232,144.0,1.20310319529745,25026,323,8666,1000.0,368,577,14400,2.6977714066533506e-12,143.95568594999997,14,0.0003,0.001845991,0.3334721
141.62150145454544,1.377993966247317,12.201313,370001,145.4,33.7255604742659,1000.0,1.6563683,25,,,,,,,,,,,,,,,,,,
,,,372000,,,,,,694200,1.1228970736315784,12.289294,143.8,1.1260799985214072,25343,326,8765,1000.0,372,583,14581,2.6144300060081882e-12,143.8065687,14,0.0003,0.0019676753,0.3474453
