eval mean 100 episode reward,eval_time_elapsed,eval_eplenmean,total timesteps,eval_qs,eval_ep_rewmean,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,qs_mean,ep_rewmean,discount_q,update_time,eplenmean,n_updates,act_time,time_elapsed,env_time,mean 100 episode reward,qs_abs_difference,qs_difference,episodes,current_lr,fps,train_time,qfs_loss,q_grad_norm
0.3,1,64.63636363636364,1,-1.523069,0.04387618181818199,1.570135485707157,2.5919022224043,5.5917187,,,,,,,,,,,,,,,,,,
,,,168420,,,,,,472.36838,797.75677266,0.1788592092906364,6526,227.5,287000,73,9947,156,797.8,71.77726295127722,60.92865199098644,1916,0.0003,16,3104,254.70721,6042.409
,,,169272,,,,,,406.15707,773.43424348,1.6344396934669543,6564,222.45,288600,74,10002,157,773.4,157.519081897909,157.519081897909,1920,0.0003,16,3120,236.28748,5484.072
757.7,3,273.72727272727275,170001,392.12064,946.0677096363635,154.2479386426705,208.48451690242655,156.87653,,,,,,,,,,,,,,,,,,
,,,170382,,,,,,420.0886,773.4348415199998,0.01734867366492559,6616,221.18,290800,74,10083,158,773.4,225.07014470866304,225.07014470866304,1924,0.0003,16,3143,263.44623,6020.156
,,,170999,,,,,,325.89142,775.1991210900001,0.3588853768508926,6644,221.78,292000,75,10125,158,775.2,261.4553860239633,260.75607172733413,1928,0.0003,16,3157,272.82825,6217.621
,,,172051,,,,,,376.716,812.4413637399999,0.1181455908943088,6693,229.55,294200,75,10203,160,812.4,84.84375431079528,79.36811588333728,1932,0.0003,16,3183,250.93033,5952.9487
,,,172773,,,,,,332.7337,789.46843782,0.01953090137759315,6724,225.22,295600,76,10252,161,789.5,320.2116952445798,320.2116952445798,1936,0.0003,16,3200,236.09737,5263.081
,,,173592,,,,,,289.9404,743.68121756,0.03162131786138078,6760,215.78,297200,76,10309,162,743.7,240.7927995799448,240.7927995799448,1940,0.0003,16,3218,255.57986,5602.571
,,,174490,,,,,,415.90384,727.87837629,0.2273933313012694,6801,212.51,299000,77,10373,163,727.9,185.00891780190264,185.00891780190264,1944,0.0003,16,3239,267.21027,6247.364
,,,175121,,,,,,303.6714,740.3769577299998,0.2617861637917828,6832,214.32,300400,78,10422,164,740.4,247.65081268576856,246.91233929597723,1948,0.0003,16,3256,257.53534,5709.15
,,,175816,,,,,,456.0866,734.03847909,5.375121181385314,6863,212.57,301800,78,10473,165,734.0,139.35437533292955,132.87414572243455,1952,0.0003,16,3274,259.81653,6144.4746
,,,176359,,,,,,393.30322,712.0212655700001,5.192377775994247,6885,207.84,302800,78,10509,165,712.0,197.6541542703954,197.6541542703954,1956,0.0003,16,3287,263.4919,5578.668
,,,177097,,,,,,392.4523,723.80659146,0.422698126548606,6916,210.63,304200,79,10558,166,723.8,278.6439816606585,278.6439816606585,1960,0.0003,16,3305,250.79718,5693.379
,,,178113,,,,,,282.90042,732.79747151,0.006590738525235477,6964,213.08,306400,79,10637,166,732.8,223.25173279511603,221.91705225932114,1964,0.0003,16,3333,258.06335,6217.3843
,,,178801,,,,,,358.25067,713.20653834,0.21313947101011116,6996,208.55,307800,79,10686,167,713.2,297.92684659429835,297.92684659429835,1968,0.0003,16,3351,264.76724,6004.603
,,,179696,,,,,,377.88486,719.6431231900001,0.0541237145632666,7031,210.37,309400,80,10743,168,719.6,280.1106537341755,280.1106537341755,1972,0.0003,16,3371,292.14523,6351.3184
768.7,1,129.54545454545453,180001,332.03397,264.45611836363634,234.80665805713105,123.82837754455372,235.92967,,,,,,,,,,,,,,,,,,
,,,180349,,,,,,371.03055,711.0931601999999,0.37401551043335335,7064,209.35,310800,80,10794,168,711.1,278.97094700311516,278.97094700311516,1976,0.0003,16,3386,248.7769,5466.029
,,,180876,,,,,,355.64716,686.8460988800001,1.5543757309470105,7088,204.75,311800,80,10829,168,686.8,291.4164633794169,291.4164633794169,1980,0.0003,16,3396,258.49356,5856.938
,,,182663,,,,,,425.2452,735.40882366,0.0018900110026875835,7171,217.1,315400,81,10956,170,735.4,90.52142825660664,89.51459996328622,1984,0.0003,16,3439,252.25168,6105.904
,,,183744,,,,,,441.72064,735.9632662699998,0.022079720087106295,7223,217.6,317600,81,11033,171,736.0,250.71325679820058,250.71325679820058,1988,0.0003,16,3461,237.58301,5719.4375
,,,185541,,,,,,457.36734,784.42277556,0.00030295486121683496,7310,227.2,321200,82,11160,172,784.4,111.62615355037521,111.62615355037521,1992,0.0003,16,3498,284.92532,6372.785
,,,187109,,,,,,397.2839,821.42634288,0.0005447708702723871,7383,235.91,324400,83,11273,174,821.4,154.8202638953178,154.8202638953178,1996,0.0003,16,3536,264.18292,6066.662
,,,189297,,,,,,473.87827,878.22182044,9.825230976281102e-07,7483,247.79,328600,84,11420,176,878.2,185.61262770272265,185.61262770272265,2000,0.0003,16,3580,223.11963,5259.3765
729.4,2,182.63636363636363,190001,349.00418,416.941916,224.81337858095395,127.34017742685077,226.29996,,,,,,,,,,,,,,,,,,
,,,190763,,,,,,338.6601,906.7078978900001,0.0008115897971006182,7552,255.44,331600,85,11528,177,906.7,237.84569067348988,237.84569067348988,2004,0.0003,16,3614,235.26811,5598.602
,,,191543,,,,,,324.92453,901.82451194,0.13011808451693171,7589,254.1,333200,85,11583,178,901.8,239.94616706160474,239.94616706160474,2008,0.0003,16,3630,263.36652,5619.002
,,,192290,,,,,,287.824,894.2173075200001,0.07771029611525969,7623,254.22,334600,86,11632,178,894.2,300.9400720091893,300.2741789636792,2012,0.0003,16,3645,263.57495,5823.744
,,,193791,,,,,,487.58075,886.48923026,0.00524559146263947,7691,253.71,337600,87,11738,180,886.5,147.96582768382268,147.96582768382268,2016,0.0003,16,3680,225.1457,5282.051
,,,194912,,,,,,187.57869,894.9726587499999,-0.00017833384034677914,7747,256.4,340000,87,11822,181,895.0,216.3483869727255,211.3034217207603,2020,0.0003,16,3706,232.98982,5270.293
,,,195958,,,,,,477.71265,880.60246254,0.37075070238679175,7795,255.76,342000,87,11891,182,880.6,172.83966432197545,171.65012592139453,2024,0.0003,16,3726,236.47078,5721.9546
,,,197000,,,,,,456.31335,896.83462529,0.44179033170714255,7846,260.01,344200,88,11969,183,896.8,158.11118734570934,158.11118734570934,2028,0.0003,16,3750,211.446,4885.107
,,,198268,,,,,,411.3869,905.5581380699998,0.04123197334024498,7900,262.17,346600,89,12053,184,905.6,82.05478463446,69.30859987842334,2032,0.0003,16,3779,254.73247,5910.9814
,,,199147,,,,,,434.3021,905.0820997200001,0.16927694069946972,7943,263.74,348400,89,12116,185,905.1,243.87192261596496,243.87192261596496,2036,0.0003,16,3797,247.38692,5624.088
790.8,3,265.54545454545456,200001,415.99942,959.8515201818183,205.82437395928798,186.5297987839215,207.57758,,,,,,,,,,,,,,,,,,
,,,200028,,,,,,446.434,909.39920203,1.8393863449070018,7986,264.36,350200,89,12182,185,909.4,103.12161597304656,103.09569192637528,2040,0.0003,16,3816,222.95744,5163.4067
,,,200852,,,,,,429.5272,902.1109148400001,0.7021094664383127,8023,263.62,351800,90,12237,186,902.1,203.04622577954677,202.91516693708954,2044,0.0003,16,3832,230.1835,5376.0713
,,,201699,,,,,,452.56647,905.9070731399999,1.8049043302021552,8060,265.78,353400,90,12293,187,905.9,163.38506739699395,163.38506739699395,2048,0.0003,16,3850,287.01947,6507.889
,,,203062,,,,,,497.9645,939.5757411700001,1.181657523833863,8126,272.46,356200,91,12390,188,939.6,62.08272415242153,47.94540967371268,2052,0.0003,16,3878,289.75626,6734.791
,,,203769,,,,,,353.44522,948.5027443099998,0.30998691916441545,8159,274.1,357600,91,12439,189,948.5,249.6176342219456,248.82797475259204,2056,0.0003,16,3894,232.12633,5409.6387
,,,204602,,,,,,357.89978,953.1592739,0.04557685296430623,8199,275.05,359400,92,12502,189,953.2,312.1111894058713,312.1111894058713,2060,0.0003,16,3915,234.97293,5250.6226
,,,205301,,,,,,459.47162,940.5244544399998,16.961466978860578,8233,271.88,360800,92,12551,190,940.5,120.303957819477,120.303957819477,2064,0.0003,16,3930,232.38388,5398.4463
,,,206349,,,,,,461.3924,951.64227619,0.7326248379834325,8280,275.48,362800,92,12621,191,951.6,110.9462766983236,110.24721113738205,2068,0.0003,16,3950,239.21373,4994.708
,,,207708,,,,,,496.04626,970.9782512300001,6.594861889223823,8342,280.12,365600,93,12719,192,971.0,82.15653218408197,76.13808988859292,2072,0.0003,16,3984,277.91565,6149.8325
,,,208428,,,,,,373.93704,975.1282432399998,0.5436076959938054,8376,280.79,367000,93,12769,193,975.1,269.4938334332972,269.4938334332972,2076,0.0003,16,3999,299.6837,7050.5474
