eval_time_elapsed,eval_qs,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,eval_discount_q,total timesteps,eval_eplenmean,eval mean 100 episode reward,qs_abs_difference,eplenmean,fps,n_updates,episodes,current_lr,qs_difference,train_time,act_time,env_time,qs_mean,mean 100 episode reward,discount_q,time_elapsed,ep_rewmean,update_time,q_grad_norm,qfs_loss
22,13.021069,0.8601436564552113,153.44943099999998,1.3103632,32.16180240942203,120001,1000.0,87.6,,,,,,,,,,,,,,,,,,
,,,,,,124000,,,1.6993726009024626,1000.0,20,198200,124,0.0003,1.6443754920661249,2591,88,181,13.8998995,81.1,2.6077576543839054e-12,5980,81.06834882,2786,1.1321881,0.006766805
,,,,,,128000,,,1.0340018491305973,1000.0,20,206200,128,0.0003,0.9559077044538572,2695,92,187,13.629221,86.6,2.5143505765131593e-12,6246,86.63458358,2937,0.96169436,0.0057020118
22,13.612335,0.6309846708637953,162.47760245454543,1.5041736,32.99403667675558,130001,1000.0,101.2,,,,,,,,,,,,,,,,,,
,,,,,,132000,,,0.9550361293717422,1000.0,20,214200,132,0.0003,0.9108626905964344,2800,95,193,13.473553,91.7,2.5368171510983776e-12,6534,91.69097613000002,3087,1.0023688,0.005921459
,,,,,,136000,,,0.9277766436292332,1000.0,19,222200,136,0.0003,0.8609768607988205,2904,99,199,13.693853,96.5,2.5385637175467757e-12,6800,96.46507776000003,3238,0.8743685,0.004711692
,,,,,,140000,,,1.1020952134742763,1000.0,19,230200,140,0.0003,1.0807874359769167,3009,102,205,13.3588085,101.2,2.645132691229618e-12,7065,101.16823291000003,3389,0.9886809,0.0042894552
22,13.715511,0.7632803629728658,162.20868863636363,1.3372267,33.01654622004462,140001,1000.0,113.9,,,,,,,,,,,,,,,,,,
,,,,,,144000,,,0.9438460503178634,1000.0,19,238200,144,0.0003,0.8567485695908498,3113,106,211,13.519238,106.1,2.5949184202469494e-12,7354,106.14584140000002,3539,0.8653885,0.0043865587
,,,,,,148000,,,1.4081670224855722,1000.0,19,246200,148,0.0003,1.3978506046326094,3218,109,217,13.67166,110.8,2.6654938714216494e-12,7619,110.81222722000003,3689,0.82036155,0.004361359
22,13.568426,0.7973149833576781,160.59640563636364,1.51642,33.21747065367669,150001,1000.0,126.8,,,,,,,,,,,,,,,,,,
,,,,,,152000,,,1.077880531509805,1000.0,19,254200,152,0.0003,1.045182147349569,3323,112,223,13.457516,115.4,2.741515658693012e-12,7907,115.40015018,3839,0.8390258,0.0044122525
,,,,,,156000,,,0.8848003235289891,1000.0,19,262200,156,0.0003,0.8308413015642511,3427,116,229,13.63694,120.0,2.6744102007259296e-12,8173,119.9539737,3990,0.7956054,0.0040567894
,,,,,,160000,,,1.132100788896884,1000.0,18,270200,160,0.0003,1.09642527728971,3532,119,235,13.615288,124.5,2.6371653495785417e-12,8439,124.53152399999999,4141,0.7514754,0.0034468567
22,13.687238,1.826227907246344,151.65912254545455,2.4932225,33.38284840193872,160001,1000.0,138.6,,,,,,,,,,,,,,,,,,
,,,,,,164000,,,1.3760740721957188,1000.0,18,278200,164,0.0003,1.3681000721812155,3636,123,241,13.971469,129.3,2.475074924761017e-12,8727,129.33173968,4292,0.62416244,0.0029489172
,,,,,,168000,,,1.1282938312527246,1000.0,18,286200,168,0.0003,1.117162110237958,3741,126,246,13.561689,133.7,2.6970747258829634e-12,8993,133.74957102000002,4443,0.62235045,0.0029089209
22,12.794525,1.3159333120763177,147.94278672727273,1.7178817,33.49178274055578,170001,1000.0,149.3,,,,,,,,,,,,,,,,,,
,,,,,,172000,,,1.1753660794507519,1000.0,18,294200,172,0.0003,1.1661742688507202,3846,130,252,13.795121,138.3,2.598603060593348e-12,9282,138.25583301,4593,0.85356516,0.0038188356
,,,,,,176000,,,1.1022869018445371,1000.0,18,302200,176,0.0003,1.0909103838801706,3951,133,258,13.277835,142.1,2.641734003216371e-12,9547,142.11645888,4743,0.83268476,0.0036651096
,,,,,,180000,,,1.1599884576885326,1000.0,18,310200,180,0.0003,1.1585527280304606,4055,136,264,13.849678,145.8,2.7270505447060062e-12,9812,145.77714534,4893,0.7284979,0.002888245
22,13.405762,1.8245720922954547,148.63291127272726,2.5478702,33.15254731761302,180001,1000.0,153.0,,,,,,,,,,,,,,,,,,
,,,,,,184000,,,0.9434953493660088,1000.0,18,318200,184,0.0003,0.921257639750429,4160,140,270,13.377229,149.9,2.642952525924021e-12,10100,149.93076598,5043,0.5917453,0.0022404685
