eval_abs_qs_difference,total timesteps,eval_qs_difference,eval_qs,eval_discount_q,eval_time_elapsed,eval_ep_rewmean,eval mean 100 episode reward,eval_eplenmean,time_elapsed,update_time,qs_mean,env_time,fps,n_updates,ep_rewmean,train_time,discount_q,qs_abs_difference,qs_difference,act_time,current_lr,episodes,mean 100 episode reward,eplenmean,qfs_loss,q_grad_norm
,336000,,,,,,,,20472,10667,12.486388,490,16,622200,146.34075851,8171,2.6300143198979222e-12,1.044752139659425,1.0437073427322623,272,0.0003,336,146.3,1000.0,0.0012707805,0.32234576
,340000,,,,,,,,20737,10816,12.6426935,496,16,630200,146.43333186,8277,2.602086796330842e-12,1.0903321162038377,1.0851206120120427,276,0.0003,340,146.4,1000.0,0.0012335964,0.38475922
1.3177639,340001,0.9246566609386587,12.359858,33.399768221679125,22,147.41778572727273,149.1,1000.0,,,,,,,,,,,,,,,,,,
,344000,,,,,,,,21025,10966,12.579696,502,16,638200,146.42094876,8382,2.551956067971403e-12,1.635480680272427,1.629671465773205,279,0.0003,344,146.4,1000.0,0.0011391653,0.37674972
,348000,,,,,,,,21291,11117,12.576664,508,16,646200,146.41537031,8487,2.581498166375093e-12,1.5618114838626285,1.5508297155844313,282,0.0003,348,146.4,1000.0,0.00095254177,0.29088876
1.3328894,350001,0.9584766182752485,12.461231,33.1518017970377,22,147.84783854545455,148.9,1000.0,,,,,,,,,,,,,,,,,,
,352000,,,,,,,,21578,11266,12.517051,513,16,654200,146.48541763,8592,2.8378738353621033e-12,1.1174109907879433,1.1168185078598174,286,0.0003,352,146.5,1000.0,0.0014113713,0.39782178
,356000,,,,,,,,21843,11416,12.550971,519,16,662200,146.54399708,8697,2.7394466684984227e-12,1.2175775555745774,1.2169811354090154,289,0.0003,356,146.5,1000.0,0.0008830864,0.34558377
,360000,,,,,,,,22109,11566,12.668837,525,16,670200,146.62958166,8802,2.663634644836161e-12,1.1085017415469907,1.1075179437331375,293,0.0003,360,146.6,1000.0,0.0011971387,0.38027918
1.1964406,360001,0.788512284034044,12.479135,33.662873187817034,22,150.23245345454544,149.0,1000.0,,,,,,,,,,,,,,,,,,
,364000,,,,,,,,22398,11716,12.588272,531,16,678200,146.61445604000002,8907,2.635084668126387e-12,1.0103987007608046,0.9996006375664276,296,0.0003,364,146.6,1000.0,0.0009528667,0.3508358
,368000,,,,,,,,22663,11866,12.684344,537,16,686200,146.81460537,9012,2.765479826422932e-12,1.015353382923533,1.0085820838305222,300,0.0003,368,146.8,1000.0,0.00089074986,0.2860804
1.2306833,370001,0.8085789020543319,12.70235,33.52121860411767,22,152.1237037272727,149.1,1000.0,,,,,,,,,,,,,,,,,,
,372000,,,,,,,,22952,12017,12.712122,543,16,694200,146.89254060999997,9117,2.7195221511884014e-12,1.020877254428428,1.0187748317830778,303,0.0003,372,146.9,1000.0,0.0011548646,0.3802113
,376000,,,,,,,,23217,12167,12.865818,549,16,702200,146.90973823,9222,2.6906394793700453e-12,1.2997466258546546,1.2960316072250588,307,0.0003,376,146.9,1000.0,0.0010458175,0.36966947
,380000,,,,,,,,23483,12317,12.647569,554,16,710200,146.8613441,9327,2.6089504923369414e-12,1.159700844574388,1.15965419025923,310,0.0003,380,146.9,1000.0,0.001374267,0.415882
1.3055679,380001,0.9945315198948219,12.444013,33.26164133451953,22,147.42382481818183,149.1,1000.0,,,,,,,,,,,,,,,,,,
,384000,,,,,,,,23771,12467,12.817381,560,16,718200,146.93302951,9432,2.652771152285321e-12,1.0864998012218963,1.077007601391303,314,0.0003,384,146.9,1000.0,0.0007259934,0.2724355
,388000,,,,,,,,24037,12617,12.726666,566,16,726200,147.02678264000002,9537,2.648236722179969e-12,1.0201449224360024,1.01238847729014,317,0.0003,388,147.0,1000.0,0.00070812466,0.2313659
1.2421064,390001,0.7313563752832397,12.684119,33.63610427390815,22,152.82737181818183,149.4,1000.0,,,,,,,,,,,,,,,,,,
,392000,,,,,,,,24325,12767,12.858584,572,16,734200,147.06966346000002,9642,2.560535611171718e-12,1.0045085613446294,0.9948982501423824,320,0.0003,392,147.1,1000.0,0.0009394522,0.3354844
,396000,,,,,,,,24590,12916,12.767448,578,16,742200,147.19448825,9747,2.763703738106638e-12,1.0167100939460763,1.0148223379146817,324,0.0003,396,147.2,1000.0,0.00069567753,0.22576283
,400000,,,,,,,,24856,13067,12.564981,584,16,750200,147.21332110000003,9853,2.700633763436218e-12,1.0521890642280602,1.0318145809877453,327,0.0003,400,147.2,1000.0,0.0010805009,0.31345248
1.4397532,400001,1.0408289387750704,12.699662,33.30117667932823,22,149.55649927272725,149.4,1000.0,,,,,,,,,,,,,,,,,,
