eval_time_elapsed,eval mean 100 episode reward,eval_discount_q,eval_qs,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_qs_difference,total timesteps,fps,ep_rewmean,mean 100 episode reward,eplenmean,qs_difference,current_lr,time_elapsed,qs_abs_difference,update_time,discount_q,episodes,env_time,act_time,qs_mean,n_updates,train_time,qfs_loss,q_grad_norm
1,155.9,104.50581393674223,-1.4063522,80.9090909090909,66.833015,156.41753018181817,-66.83300745162934,1,,,,,,,,,,,,,,,,,,
,,,,,,,,2664,338,15.646714649999996,15.6,21.0,-7.799598030560162,0.0003,7,7.856074172374424,3,10.187500640513825,124,2,0,0.47801408,0,0,,
,,,,,,,,2762,337,15.574742099999998,15.6,21.05,-10.209597256790685,0.0003,8,10.209597256790685,3,9.263238286663187,128,2,0,0.4087624,0,0,,
,,,,,,,,2813,333,15.451354449999998,15.5,20.65,-4.413961031967293,0.0003,8,4.413961031967293,3,6.576372263305583,132,2,0,0.5356033,0,0,,
,,,,,,,,2890,338,15.45449275,15.5,20.31,-5.7802306526328975,0.0003,8,5.878089556246409,3,8.714431343106845,136,2,0,0.51049817,0,0,,
,,,,,,,,2944,334,15.278638909999998,15.3,19.79,-1.8275708985430095,0.0003,8,1.9093519829254189,3,4.463990070104838,140,2,0,0.7417818,0,0,,
,,,,,,,,3059,334,16.342485909999997,16.3,20.34,-17.409380200187822,0.0003,9,17.409380200187822,4,12.917971416894037,144,2,0,0.35359606,0,0,,
,,,,,,,,3149,332,16.17159579,16.2,20.2,-10.127294690763996,0.0003,9,10.127294690763996,4,8.995093523091995,148,2,0,0.24275549,0,0,,
,,,,,,,,3233,330,15.84625202,15.8,19.97,-6.938362659662268,0.0003,9,6.938362659662268,4,8.493888602217426,152,2,0,0.5312014,0,0,,
,,,,,,,,3302,326,15.710538239999998,15.7,19.63,-7.0174951876098595,0.0003,10,7.0174951876098595,4,8.947477414385615,156,2,0,0.2380664,0,0,,
,,,,,,,,3374,331,15.631307529999999,15.6,19.67,-6.955484100916519,0.0003,10,6.955484100916519,4,7.680382405473115,160,3,0,0.4024137,0,0,,
,,,,,,,,3432,326,15.817427519999997,15.8,19.79,-5.174123215751698,0.0003,10,5.174123215751698,4,7.020840263716918,164,3,0,0.42581677,0,0,,
,,,,,,,,3486,330,15.535242019999998,15.5,19.18,-5.787883669835283,0.0003,10,5.787883669835283,4,8.245551069609688,168,3,0,0.42391953,0,0,,
,,,,,,,,3560,326,15.68309707,15.7,19.24,-1.8789120933580528,0.0003,10,1.9897506994919805,5,3.2873768233232816,172,3,0,0.59211224,0,0,,
,,,,,,,,3663,324,15.707033070000001,15.7,19.4,-5.653541681857194,0.0003,11,5.664686840412003,5,6.273470531161617,176,3,0,0.56286216,0,0,,
,,,,,,,,3725,318,15.39777115,15.4,19.12,-3.551890168098534,0.0003,11,3.6165037438628254,5,6.446686690026901,180,3,0,0.66693246,0,0,,
,,,,,,,,3815,312,15.358521470000001,15.4,19.12,-3.970215906029439,0.0003,12,4.00494754231758,6,6.261664852858802,184,3,0,0.58819205,0,0,,
,,,,,,,,3946,308,16.38468205,16.4,19.71,-9.834196586249304,0.0003,12,9.834196586249304,6,5.4808212751735015,188,3,0,0.3309298,0,0,,
,,,,,,,,4030,303,16.60227969,16.6,19.91,-8.216026353565784,0.0003,13,8.216026353565784,7,8.767197884089004,192,3,0,0.45397016,0,0,,
,,,,,,,,4157,303,17.47438136,17.5,20.3,-48.42431024547755,0.0003,13,48.42431024547755,7,37.478454284397166,196,3,0,0.21413733,0,0,,
,,,,,,,,4245,300,17.6032058,17.6,20.49,-4.068005676924299,0.0003,14,4.706648067523512,7,7.103214198442946,200,3,0,0.6059487,0,0,,
,,,,,,,,4335,298,17.762279890000002,17.8,20.64,-4.835857712267023,0.0003,14,4.835857712267023,7,4.944304644333215,204,3,0,0.46063858,0,0,,
,,,,,,,,4408,295,17.525201560000006,17.5,20.55,-8.469656798067097,0.0003,14,8.469656798067097,8,9.128972779488784,208,3,0,0.37032226,0,0,,
,,,,,,,,4465,298,17.12621033,17.1,20.16,-3.9170273873521992,0.0003,14,3.9170273873521992,8,4.885715299400974,212,3,0,0.29944706,0,0,,
,,,,,,,,4540,294,17.3577581,17.4,20.27,-8.664918730599116,0.0003,15,8.664918730599116,8,9.27781304724188,216,4,0,0.38000256,0,0,,
,,,,,,,,4615,291,17.26381418,17.3,20.32,-5.049834958213073,0.0003,15,5.0848479573868905,8,8.045555173715895,220,4,0,0.530755,0,0,,
,,,,,,,,4707,289,17.26420832,17.3,20.43,-5.0883068296575305,0.0003,16,5.0883068296575305,9,4.97411469469459,224,4,0,0.48402038,0,0,,
,,,,,,,,4821,287,17.84555849,17.8,20.59,-36.05262817918418,0.0003,16,36.05262817918418,9,32.58083751018186,228,4,0,0.26193875,0,0,,
,,,,,,,,4907,283,18.19366745,18.2,20.94,-2.5810159472420566,0.0003,17,3.1816682865997508,10,4.969727077722705,232,4,0,0.71545744,0,0,,
,,,,,,,,4991,286,18.15593522,18.2,21.01,-2.1356949574485813,0.0003,17,2.312322379534894,10,3.1414705585535794,236,4,0,0.484085,0,0,,
,,,,,,,,5110,274,18.91210029,18.9,21.66,-0.6875776260962835,0.0003,18,1.9319209209815507,11,2.467052834039119,240,4,0,0.90412045,0,0,,
,,,,,,,,5205,272,18.125687420000002,18.1,21.46,-9.591069149694723,0.0003,19,9.591069149694723,11,8.72163895336443,244,4,0,0.5138959,0,0,,
,,,,,,,,5264,274,17.87122346,17.9,21.15,-5.538986563767592,0.0003,19,5.538986563767592,11,7.654112388399864,248,4,0,0.35836363,0,0,,
,,,,,,,,5374,273,18.19415832,18.2,21.41,-23.198674697116676,0.0003,19,23.20068242104272,11,23.75098307682732,252,4,0,0.40701306,0,0,,
,,,,,,,,5444,270,18.250836749999998,18.3,21.42,-6.016234853286789,0.0003,20,6.016234853286789,12,6.409261259910239,256,4,0,0.31765446,0,0,,
,,,,,,,,5544,268,18.64396138,18.6,21.7,-3.836908344282673,0.0003,20,3.853567613448649,12,4.0421424506370975,260,4,0,0.44636872,0,0,,
,,,,,,,,5655,267,19.22046656,19.2,22.23,-5.892835603872461,0.0003,21,5.892835603872461,13,4.551225166186366,264,4,0,0.3759581,0,0,,
,,,,,,,,5712,263,19.215656329999998,19.2,22.26,-6.367745929237052,0.0003,21,6.375201770866007,13,10.565887632431762,268,4,0,0.49650487,0,0,,
,,,,,,,,5766,265,18.97018027,19.0,22.06,-3.5358146269524524,0.0003,21,3.5358146269524524,13,5.405224885615531,272,5,0,0.4611663,0,0,,
,,,,,,,,5870,263,19.64469137,19.6,22.07,-57.15606191218745,0.0003,22,57.15606191218745,14,61.50145446314573,276,5,0,0.14410281,0,0,,
,,,,,,,,6030,254,21.39479705,21.4,23.05,-6.706337470961391,0.0003,23,6.706337470961391,15,3.598937876831325,280,5,0,0.446656,0,0,,
,,,,,,,,6115,251,21.33519643,21.3,23.0,-1.5406218095129227,0.0003,24,2.3945418433856114,15,5.921541333477046,284,5,0,0.6106986,0,0,,
,,,,,,,,6185,253,20.30346112,20.3,22.39,-2.9877430259766964,0.0003,24,3.0258185417507013,15,4.6401013873027175,288,5,0,0.611599,0,0,,
,,,,,,,,6263,251,20.508465210000004,20.5,22.33,-11.286927981615229,0.0003,24,11.286927981615229,16,10.631917190861238,292,5,0,0.26527664,0,0,,
,,,,,,,,6333,249,19.55667804,19.6,21.76,-6.862485842234277,0.0003,25,6.8809439224277495,16,10.20624353389941,296,5,0,0.39419135,0,0,,
