eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,eval_qs,eval_discount_q,eval_abs_qs_difference,total timesteps,eval_qs_difference,eval mean 100 episode reward,time_elapsed,qs_abs_difference,env_time,update_time,qs_difference,ep_rewmean,qs_mean,n_updates,current_lr,train_time,discount_q,fps,eplenmean,episodes,act_time,mean 100 episode reward,qfs_loss,q_grad_norm
,,,,,,7149,,,124,30.279390103745225,12,103,-30.279390103745225,52.894030109999996,0.8113737,0,0.0003,0,46.37271918529993,57,5.83,1184,1,52.9,,
,,,,,,7170,,,124,29.712685532159167,12,103,-29.712685532159167,52.23610948,0.8441393,0,0.0003,0,45.33403592008737,57,5.76,1188,1,52.2,,
,,,,,,7195,,,124,30.1991884047722,12,103,-30.1991884047722,52.43068492,0.8400958,0,0.0003,0,44.05848013246098,57,5.78,1192,1,52.4,,
,,,,,,7213,,,126,25.486726381462482,12,106,-25.486726381462482,51.774690379999996,0.77007633,0,0.0003,0,38.695641705507455,56,5.71,1196,1,51.8,,
,,,,,,7237,,,126,30.066242175437633,12,106,-30.066242175437633,51.86402183999999,0.81149334,0,0.0003,0,44.20030769469201,57,5.72,1200,1,51.9,,
,,,,,,7265,,,126,30.14210165891038,12,106,-30.14210165891038,52.52340193,0.76726013,0,0.0003,0,42.667490010950885,57,5.79,1204,1,52.5,,
,,,,,,7292,,,126,25.591220921492745,12,106,-25.591220921492745,53.18145689999999,0.7411984,0,0.0003,0,35.359890444358406,57,5.86,1208,1,53.2,,
,,,,,,7317,,,129,43.63418231115563,12,108,-43.63418231115563,53.370336099999996,0.3179898,0,0.0003,0,67.26066263360114,56,5.88,1212,1,53.4,,
,,,,,,7348,,,129,48.333937183924505,12,108,-48.333937183924505,54.48707515,0.46702558,0,0.0003,0,71.37471038074757,56,6.0,1216,1,54.5,,
,,,,,,7372,,,129,25.480348726761736,12,108,-25.480348726761736,54.575542199999994,0.7578811,0,0.0003,0,36.3974008452143,56,6.01,1220,1,54.6,,
,,,,,,7398,,,129,43.920571343118745,12,108,-43.920571343118745,54.76311870000001,0.4912021,0,0.0003,0,66.94870333772784,56,6.03,1224,1,54.8,,
,,,,,,7422,,,133,21.093995302289503,12,111,-21.093995302289503,55.30393586,0.6465322,0,0.0003,0,28.578032626663692,55,6.09,1228,1,55.3,,
,,,,,,7443,,,133,26.399726477246325,12,111,-26.399726477246325,55.220565570000005,0.16211537,0,0.0003,0,37.831402219111936,55,6.08,1232,1,55.2,,
,,,,,,7463,,,133,30.09514243308659,12,111,-30.09514243308659,55.22044271,0.76910704,0,0.0003,0,46.11832792846025,56,6.08,1236,1,55.2,,
,,,,,,7492,,,133,39.026876424060475,12,111,-39.026876424060475,55.875123460000005,0.69887805,0,0.0003,0,57.20457456871171,56,6.15,1240,1,55.9,,
,,,,,,7517,,,136,39.41407726484387,12,114,-39.41407726484387,56.155943060000006,0.34348935,0,0.0003,0,59.504858316177504,55,6.18,1244,1,56.2,,
,,,,,,7544,,,136,35.21736104233578,12,114,-35.21736104233578,56.44421708,0.38090897,0,0.0003,0,50.95023665857464,55,6.21,1248,1,56.4,,
,,,,,,7563,,,136,26.126404678706642,12,114,-26.126404678706642,55.97196659,0.14460227,0,0.0003,0,38.18787604368677,55,6.16,1252,1,56.0,,
,,,,,,7590,,,136,29.928013640253997,12,114,-29.928013640253997,56.058247779999995,0.8293302,0,0.0003,0,42.79570518382503,55,6.17,1256,1,56.1,,
,,,,,,7608,,,139,22.100407401572777,12,118,-22.100407401572777,55.600016180000004,0.15733509,0,0.0003,0,30.995531436884665,54,6.12,1260,1,55.6,,
,,,,,,7628,,,139,16.90152913259225,12,118,-16.90152913259225,54.855335059999994,0.74008703,0,0.0003,0,22.40272083730572,54,6.04,1264,1,54.9,,
,,,,,,7651,,,139,29.825612593470833,12,118,-29.825612593470833,54.758290560000006,0.7913943,0,0.0003,0,44.46905618097272,54,6.03,1268,1,54.8,,
